Timestamp: 2025-07-18 17:22:31, Altitude: 0.073
Timestamp: 2025-07-18 17:22:32, Altitude: 0.219
Timestamp: 2025-07-18 17:22:32, Altitude: 0.438
Timestamp: 2025-07-18 17:22:32, Altitude: 0.77
Timestamp: 2025-07-18 17:22:32, Altitude: 1.185
Timestamp: 2025-07-18 17:22:32, Altitude: 1.673
Timestamp: 2025-07-18 17:22:32, Altitude: 2.244
Timestamp: 2025-07-18 17:22:32, Altitude: 2.908
Timestamp: 2025-07-18 17:22:32, Altitude: 3.665
Timestamp: 2025-07-18 17:22:32, Altitude: 4.525
Timestamp: 2025-07-18 17:22:32, Altitude: 5.478
Timestamp: 2025-07-18 17:22:33, Altitude: 6.524
Timestamp: 2025-07-18 17:22:33, Altitude: 7.643
Timestamp: 2025-07-18 17:22:33, Altitude: 8.835
Timestamp: 2025-07-18 17:22:33, Altitude: 10.14
Timestamp: 2025-07-18 17:22:33, Altitude: 11.538
Timestamp: 2025-07-18 17:22:33, Altitude: 13.009
Timestamp: 2025-07-18 17:22:33, Altitude: 14.553
Timestamp: 2025-07-18 17:22:33, Altitude: 16.2
Timestamp: 2025-07-18 17:22:33, Altitude: 17.93
Timestamp: 2025-07-18 17:22:33, Altitude: 19.743
Timestamp: 2025-07-18 17:22:34, Altitude: 21.629
Timestamp: 2025-07-18 17:22:34, Altitude: 23.598
Timestamp: 2025-07-18 17:22:34, Altitude: 25.65
Timestamp: 2025-07-18 17:22:34, Altitude: 27.795
Timestamp: 2025-07-18 17:22:34, Altitude: 30.043
Timestamp: 2025-07-18 17:22:34, Altitude: 32.364
Timestamp: 2025-07-18 17:22:34, Altitude: 34.788
Timestamp: 2025-07-18 17:22:34, Altitude: 37.305
Timestamp: 2025-07-18 17:22:34, Altitude: 39.905
Timestamp: 2025-07-18 17:22:34, Altitude: 42.618
Timestamp: 2025-07-18 17:22:35, Altitude: 45.424
Timestamp: 2025-07-18 17:22:35, Altitude: 48.323
Timestamp: 2025-07-18 17:22:35, Altitude: 51.335
Timestamp: 2025-07-18 17:22:35, Altitude: 54.46
Timestamp: 2025-07-18 17:22:35, Altitude: 57.658
Timestamp: 2025-07-18 17:22:35, Altitude: 60.939
Timestamp: 2025-07-18 17:22:35, Altitude: 64.293
Timestamp: 2025-07-18 17:22:35, Altitude: 67.74
Timestamp: 2025-07-18 17:22:35, Altitude: 71.3
Timestamp: 2025-07-18 17:22:35, Altitude: 74.973
Timestamp: 2025-07-18 17:22:36, Altitude: 78.719
Timestamp: 2025-07-18 17:22:36, Altitude: 82.548
Timestamp: 2025-07-18 17:22:36, Altitude: 86.46
Timestamp: 2025-07-18 17:22:36, Altitude: 90.445
Timestamp: 2025-07-18 17:22:36, Altitude: 94.523
Timestamp: 2025-07-18 17:22:36, Altitude: 98.704
Timestamp: 2025-07-18 17:22:36, Altitude: 102.978
Timestamp: 2025-07-18 17:22:36, Altitude: 107.365
Timestamp: 2025-07-18 17:22:36, Altitude: 111.865
